uid|sb|code|error|updated
uid://A002/Xa4b3e9/X171a|uid://A002/X6b0cc1/X134|2012.1.00242.S|0.0103445939472|False
uid://A002/Xa4b3e9/X1c78|uid://A002/X6b0cc1/X134|2012.1.00242.S|0.0103445939472|False
uid://A002/Xa4ce71/X6ef|uid://A002/X6b0cc1/X134|2012.1.00242.S|0.0103445939472|False
uid://A002/Xa4dcb9/X13d7|uid://A002/X6b0cc1/X134|2012.1.00242.S|0.0103445939472|False
uid://A002/Xa4dcb9/X1a21|uid://A002/X6b0cc1/X134|2012.1.00242.S|0.0103445939472|False
uid://A002/X7c6ce6/Xa4|uid://A002/X6444ba/X9e|2012.1.00261.S|0.0855921285605|True
uid://A002/X7d44e7/X1bf|uid://A002/X6444ba/X9f|2012.1.00261.S|0.0855921285605|True
uid://A002/X7d44e7/X2dd|uid://A002/X6444ba/X9f|2012.1.00261.S|0.0855921285605|True
uid://A002/X75d7ca/X1e8|uid://A002/X684eb5/X3|2012.1.00271.S|0.0238170097|False
uid://A002/X75f169/X2dd|uid://A002/X684eb5/X3|2012.1.00271.S|0.0212327156355|False
uid://A002/X760eb8/X39e|uid://A002/X684eb5/X3|2012.1.00271.S|0.0224138935896|False
uid://A002/X760eb8/X88f|uid://A002/X684eb5/X3|2012.1.00271.S|0.0240978103083|False
uid://A002/X6f1341/Xeb1|uid://A002/X5eed86/X93|2012.1.00285.S|0.0184735917708|False
uid://A002/X7c3a52/X1bc|uid://A002/X5eed86/X93|2012.1.00285.S|0.0184735917708|False
uid://A002/X7c3a52/X2e7|uid://A002/X5eed86/X92|2012.1.00285.S|0.0251463446456|False
uid://A002/X7c5411/X486|uid://A002/X5eed86/X92|2012.1.00285.S|0.0251463446456|False
uid://A002/X7c5411/X836|uid://A002/X5eed86/X92|2012.1.00285.S|0.0251463446456|False
uid://A002/X7d44e7/X103|uid://A002/X5eed86/X93|2012.1.00285.S|0.0184735917708|False
uid://A002/X7d44e7/X301a|uid://A002/X5eed86/X93|2012.1.00285.S|0.0184735917455|False
uid://A002/X879b80/X1751|uid://A002/X5eed86/X93|2012.1.00285.S|0.0184735917708|False
uid://A002/X87c075/X38ee|uid://A002/X5eed86/X93|2012.1.00285.S|0.0184735917708|False
uid://A002/Xa25bbf/X53b8|uid://A002/X5eed86/X93|2012.1.00285.S|0.0184735917708|False
uid://A002/X7776f1/X1ba9|uid://A002/X67ccb6/X9|2012.1.00323.S|0.524202032949|True
uid://A002/X71e4ae/X317|uid://A002/X6f9b0f/X106|2012.1.00333.S|0.725253073517|True
uid://A002/X77da97/X43d|uid://A002/X75fbd6/X27|2012.1.00335.S|0.252851808197|True
uid://A002/X77da97/X836|uid://A002/X75fbd6/X27|2012.1.00335.S|0.252851808197|True
uid://A002/X77da97/Xc17|uid://A002/X75fbd6/X28|2012.1.00335.S|0.259273499551|False
uid://A002/X785e52/Xf3b|uid://A002/X75fbd6/X28|2012.1.00335.S|0.259273499551|False
uid://A002/X78cd19/X7c6|uid://A002/X75fbd6/X28|2012.1.00335.S|0.259273499551|False
uid://A002/X78cd19/Xd25|uid://A002/X75fbd6/X28|2012.1.00335.S|0.259273499551|False
uid://A002/X78cd19/X1225|uid://A002/X75fbd6/X28|2012.1.00335.S|0.259273499551|False
uid://A002/X8081ba/X4b0a|uid://A002/X75fbd6/X28|2012.1.00335.S|0.259273499551|False
uid://A002/X7e4988/X1f2|uid://A002/X788a57/X21|2012.1.00357.S|0.0337150513214|False
