,UID,DATE,ValidUID,NullState,SyscalTime,CSV2555
1247,uid://A002/X822112/X45d,2014-05-18 15:25:00.178000,True,True,True,False
1248,uid://A002/X822112/X161,2014-05-18 14:18:09.365000,True,True,False,False
1249,uid://A002/X822112/Xc3,2014-05-18 13:59:20.507000,True,True,True,False
1250,uid://A002/X821133/Xf67,2014-05-18 09:40:53.083000,True,False,True,True
1251,uid://A002/X821133/Xded,2014-05-18 08:54:33.207000,True,True,True,True
1252,uid://A002/X821133/Xd30,2014-05-18 08:20:02.044000,True,True,True,True
1253,uid://A002/X821133/Xcfc,2014-05-18 08:06:03.590000,True,True,True,True
1254,uid://A002/X821133/Xbb6,2014-05-18 07:22:41.999000,True,True,True,True
1255,uid://A002/X821133/X836,2014-05-18 05:49:25.084000,True,False,True,True
1256,uid://A002/X821133/X639,2014-05-18 04:54:21.504000,True,True,True,True
1257,uid://A002/X821133/X5a4,2014-05-18 04:32:56.713000,True,True,True,True
1258,uid://A002/X821133/X5a2,2014-05-18 04:26:55.177000,True,True,True,True
1259,uid://A002/X821133/X4a4,2014-05-18 03:25:47.569000,True,True,True,True
1260,uid://A002/X821133/X428,2014-05-18 03:12:02.045000,True,True,True,True
1261,uid://A002/X821133/X3a0,2014-05-18 02:45:31.248000,True,True,True,True
1262,uid://A002/X821133/X16d,2014-05-18 01:40:34.576000,True,True,True,True
1263,uid://A002/X8204db/Xce1,2014-05-17 20:54:54.378000,True,True,True,False
1264,uid://A002/X8204db/Xae8,2014-05-17 19:58:49.149000,True,True,False,False
1265,uid://A002/X8204db/X9b2,2014-05-17 19:27:01.769000,True,True,True,False
1266,uid://A002/X8204db/X93f,2014-05-17 19:15:55.944000,True,True,True,False
1267,uid://A002/X8204db/X8e2,2014-05-17 19:02:18.688000,True,True,True,False
1268,uid://A002/X8204db/X822,2014-05-17 18:07:55.719000,True,True,True,False
1269,uid://A002/X8204db/X747,2014-05-17 17:41:57.085000,True,True,True,False
1270,uid://A002/X8204db/X611,2014-05-17 17:18:39.573000,True,True,True,True
1271,uid://A002/X8204db/X25a,2014-05-17 15:48:11.314000,True,True,True,False
1272,uid://A002/X8204db/X4f,2014-05-17 14:22:02.880000,True,True,True,False
1273,uid://A002/X81f76f/X812,2014-05-17 10:29:28.163000,True,True,True,True
1274,uid://A002/X81f76f/X6d6,2014-05-17 09:44:51.218000,True,True,True,True
1275,uid://A002/X81f76f/X303,2014-05-17 07:43:23.097000,True,True,True,True
1276,uid://A002/X80e1ef/X1d85,2014-05-06 12:38:52.989000,True,True,True,True
1277,uid://A002/X80e1ef/X1a50,2014-05-06 10:49:29.755000,True,True,True,False
1278,uid://A002/X80e1ef/X1820,2014-05-06 09:44:54.981000,True,True,True,False
1279,uid://A002/X80e1ef/X15d0,2014-05-06 08:33:54.286000,True,True,True,False
1280,uid://A002/X80e1ef/X1512,2014-05-06 08:05:04.025000,True,True,True,True
1281,uid://A002/X80c782/X1911,2014-05-05 11:40:59.265000,True,True,True,False
1282,uid://A002/X80c782/X17a6,2014-05-05 10:49:41.050000,True,True,True,False
